,Word,TF-IDF
0,hole,0.04132231404958678
1,black,0.028883058030414004
2,paradox,0.024793388429752067
3,quantum,0.024793388429752067
4,hair,0.024793388429752067
5,prof,0.0231064464243312
6,university,0.01652892561983471
7,theory,0.01652892561983471
8,star,0.01652892561983471
9,call,0.01652892561983471
10,calmet,0.01652892561983471
11,theories,0.01652892561983471
12,imprint,0.01652892561983471
13,problem,0.01652892561983471
14,solve,0.01652892561983471
15,scientists,0.0115532232121656
16,develop,0.0115532232121656
17,two,0.0086426238889312
18,mathematical,0.008264462809917356
19,jersey,0.008264462809917356
20,sussex,0.008264462809917356
21,princeton,0.008264462809917356
22,resolve,0.008264462809917356
23,theorem,0.008264462809917356
24,collapse,0.008264462809917356
25,biggest,0.008264462809917356
26,dead,0.008264462809917356
27,put,0.008264462809917356
28,techniques,0.008264462809917356
29,information,0.008264462809917356
30,hawk,0.008264462809917356
31,general,0.008264462809917356
32,gravity,0.008264462809917356
33,xavier,0.008264462809917356
34,news,0.008264462809917356
35,john,0.008264462809917356
36,constituents,0.008264462809917356
37,wheeler,0.008264462809917356
38,important,0.008264462809917356
39,paradoxes,0.008264462809917356
40,fundamental,0.008264462809917356
41,strong,0.008264462809917356
42,stephen,0.008264462809917356
43,odds,0.008264462809917356
44,einsteins,0.008264462809917356
45,heart,0.008264462809917356
46,relativity,0.008264462809917356
47,physics,0.008264462809917356
48,mechanics,0.008264462809917356
49,supersede,0.008264462809917356
50,undermine,0.008264462809917356
51,archibald,0.008264462809917356
52,escape,0.008264462809917356
53,satisfaction,0.008264462809917356
54,among,0.008264462809917356
55,claim,0.008264462809917356
56,exclusively,0.008264462809917356
57,idea,0.008264462809917356
58,crack,0.008264462809917356
59,earlier,0.008264462809917356
60,field,0.008264462809917356
61,gravitational,0.008264462809917356
62,threaten,0.008264462809917356
63,property,0.008264462809917356
64,impossible,0.008264462809917356
65,colleagues,0.008264462809917356
66,show,0.006577520804496489
67,new,0.006577520804496489
68,say,0.006400907437427405
69,bbc,0.0057766116060828
