,Word,TF-IDF
0,model,0.04461510665974588
1,data,0.02966687916484185
2,train,0.028368794326241134
3,datasets,0.028368794326241134
4,synthetic,0.02127659574468085
5,machinelearning,0.014871702219915295
6,learn,0.014833439582420924
7,dataset,0.014184397163120567
8,exist,0.014184397163120567
9,real,0.014184397163120567
10,bias,0.014184397163120567
11,generative,0.014184397163120567
12,task,0.014184397163120567
13,special,0.009914468146610197
14,generate,0.009914468146610197
15,use,0.008539858033020743
16,share,0.0070921985815602835
17,contrastive,0.0070921985815602835
18,sidestep,0.0070921985815602835
19,potential,0.0070921985815602835
20,contain,0.0070921985815602835
21,downstream,0.0070921985815602835
22,problems,0.0070921985815602835
23,always,0.0070921985815602835
24,disaster,0.0070921985815602835
25,present,0.0070921985815602835
26,able,0.0070921985815602835
27,remove,0.0070921985815602835
28,satellite,0.0070921985815602835
29,store,0.0070921985815602835
30,perform,0.0070921985815602835
31,traditional,0.0070921985815602835
32,place,0.0070921985815602835
33,amount,0.0070921985815602835
34,usable,0.0070921985815602835
35,rather,0.0070921985815602835
36,circumvent,0.0070921985815602835
37,dollars,0.0070921985815602835
38,huge,0.0070921985815602835
39,method,0.0070921985815602835
40,best,0.0070921985815602835
41,rival,0.0070921985815602835
42,realistic,0.0070921985815602835
43,natural,0.0070921985815602835
44,attribute,0.0070921985815602835
45,usage,0.0070921985815602835
46,distribute,0.0070921985815602835
47,concern,0.0070921985815602835
48,less,0.0070921985815602835
49,memory,0.0070921985815602835
50,classification,0.0070921985815602835
51,gender,0.0070921985815602835
52,negatively,0.0070921985815602835
53,privacy,0.0070921985815602835
54,extremely,0.0070921985815602835
55,representation,0.0070921985815602835
56,photos,0.0070921985815602835
57,edit,0.0070921985815602835
58,address,0.0070921985815602835
59,however,0.0070921985815602835
60,may,0.0070921985815602835
61,outperform,0.0070921985815602835
62,performance,0.0070921985815602835
63,follow,0.0070921985815602835
64,even,0.005644539130099824
65,limit,0.004957234073305099
66,millions,0.004957234073305099
67,impact,0.004957234073305099
68,cost,0.004957234073305099
69,vision,0.004957234073305099
70,visual,0.004957234073305099
71,around,0.004957234073305099
72,often,0.004957234073305099
73,damage,0.004957234073305099
74,easy,0.004957234073305099
75,race,0.004957234073305099
76,mit,0.004957234073305099
77,right,0.004957234073305099
78,develop,0.004957234073305099
79,identify,0.004957234073305099
80,come,0.004957234073305099
81,far,0.004957234073305099
82,type,0.004957234073305099
83,machine,0.004957234073305099
84,require,0.004957234073305099
85,image,0.004957234073305099
86,representations,0.004957234073305099
87,certain,0.004957234073305099
88,another,0.004957234073305099
89,result,0.004957234073305099
90,could,0.004269929016510372
91,researchers,0.003708359895605231
92,’,0.003708359895605231
93,first,0.003708359895605231
94,need,0.002822269565049912
95,show,0.002822269565049912
96,like,0.002822269565049912
97,also,0.002197190921783591
98,know,0.002134964508255186
99,drivers,0.0
100,shift,0.0
101,outline,0.0
102,year,0.0
103,max,0.0
104,ways,0.0
105,record,0.0
106,part,0.0
107,lay,0.0
108,lessons,0.0
109,intervene,0.0
110,formula,0.0
111,body,0.0
112,beyond,0.0
113,major,0.0
114,return,0.0
115,inside,0.0
116,standards,0.0
117,matter,0.0
118,director,0.0
119,see,0.0
120,remain,0.0
121,likely,0.0
122,rugged,0.0
123,hundreds,0.0
124,cockpit,0.0
125,eastern,0.0
126,clue,0.0
127,landscape,0.0
128,declare,0.0
129,rain,0.0
130,week,0.0
131,personal,0.0
132,volunteer,0.0
133,wuzhou,0.0
134,steep,0.0
135,recovery,0.0
136,manoeuvre,0.0
137,change,0.0
138,publish,0.0
139,drive,0.0
140,take,0.0
141,become,0.0
142,last,0.0
143,ethics,0.0
144,rule,0.0
145,away,0.0
146,fight,0.0
147,season,0.0
148,fia,0.0
149,team,0.0
150,responsibility,0.0
151,position,0.0
152,especially,0.0
153,throughout,0.0
154,michael,0.0
155,try,0.0
156,govern,0.0
157,outside,0.0
158,guidelines,0.0
159,issue,0.0
160,manner,0.0
161,personally,0.0
162,advantage,0.0
163,gain,0.0
164,series,0.0
165,mistake,0.0
166,aggressive,0.0
167,penalties,0.0
168,tactics,0.0
169,overtake,0.0
170,verstappens,0.0
171,postdoc,0.0
172,track,0.0
173,onus,0.0
174,ft,0.0
175,push,0.0
176,rid,0.0
177,wave,0.0
178,foilboard,0.0
179,surf,0.0
180,lakes,0.0
181,long,0.0
182,user,0.0
183,almost,0.0
184,former,0.0
185,professional,0.0
186,underwater,0.0
187,surfers,0.0
188,rider,0.0
189,give,0.0
190,wing,0.0
191,technology,0.0
192,sea,0.0
193,coast,0.0
194,island,0.0
195,flat,0.0
196,propellers,0.0
197,air,0.0
198,build,0.0
199,downwards,0.0
200,mean,0.0
201,underside,0.0
202,better,0.0
203,foilboards,0.0
204,kiana,0.0
205,stand,0.0
206,electricpowered,0.0
207,surfer,0.0
208,million,0.0
209,seas,0.0
210,world,0.0
211,masts,0.0
212,extend,0.0
213,carbonfibre,0.0
214,fores,0.0
215,move,0.0
216,hydrofoil,0.0
217,extra,0.0
218,thrill,0.0
219,rod,0.0
220,fly,0.0
221,context,0.0
222,victims,0.0
223,masi,0.0
224,must,0.0
225,water,0.0
226,business,0.0
227,appear,0.0
228,surfboard,0.0
229,oahu,0.0
230,industry,0.0
231,bigger,0.0
232,lift,0.0
233,mast,0.0
234,increasingly,0.0
235,rivers,0.0
236,sufficient,0.0
237,fibre,0.0
238,momentum,0.0
239,big,0.0
240,smoothly,0.0
241,sport,0.0
242,thats,0.0
243,board,0.0
244,traits,0.0
245,southern,0.0
246,difficult,0.0
247,chief,0.0
248,hygiene,0.0
249,adequate,0.0
250,replenish,0.0
251,continent,0.0
252,rock,0.0
253,agriculture,0.0
254,poorly,0.0
255,charity,0.0
256,danger,0.0
257,reserve,0.0
258,vast,0.0
259,region,0.0
260,safe,0.0
261,aquifers,0.0
262,debunk,0.0
263,executive,0.0
264,drink,0.0
265,programme,0.0
266,celebrate,0.0
267,wetlands,0.0
268,unexpected,0.0
269,ground,0.0
270,plant,0.0
271,single,0.0
272,discover,0.0
273,life,0.0
274,level,0.0
275,eel,0.0
276,newly,0.0
277,unique,0.0
278,arm,0.0
279,freshwater,0.0
280,underground,0.0
281,behind,0.0
282,resources,0.0
283,study,0.0
284,africa,0.0
285,surface,0.0
286,enough,0.0
287,investment,0.0
288,untapped,0.0
289,access,0.0
290,subsaharan,0.0
291,–,0.0
292,wateraid,0.0
293,earth,0.0
294,abundant,0.0
295,clean,0.0
296,myth,0.0
297,chronically,0.0
298,manage,0.0
299,tim,0.0
300,resource,0.0
301,rainfall,0.0
302,feet,0.0
303,provide,0.0
304,pollute,0.0
305,liquid,0.0
306,uk,0.0
307,wainwright,0.0
308,tragedy,0.0
309,deplete,0.0
310,lack,0.0
311,groundwater,0.0
312,soil,0.0
313,irrigation,0.0
314,every,0.0
315,unsustainably,0.0
316,manager,0.0
317,fascinate,0.0
318,organisation,0.0
319,plunge,0.0
320,recorder,0.0
321,yet,0.0
322,rescuers,0.0
323,analyse,0.0
324,plane,0.0
325,debris,0.0
326,survive,0.0
327,intact,0.0
328,mountains,0.0
329,fine,0.0
330,crash,0.0
331,site,0.0
332,scatter,0.0
333,media,0.0
334,efforts,0.0
335,suddenly,0.0
336,circumstances,0.0
337,hop,0.0
338,beijing,0.0
339,investigators,0.0
340,nearvertical,0.0
341,dive,0.0
342,number,0.0
343,recover,0.0
344,authorities,0.0
345,heavy,0.0
346,wednesday,0.0
347,sign,0.0
348,search,0.0
349,char,0.0
350,flood,0.0
351,jet,0.0
352,belong,0.0
353,officials,0.0
354,discovery,0.0
355,fish,0.0
356,really,0.0
357,vertebrates,0.0
358,release,0.0
359,plenty,0.0
360,diverse,0.0
361,harmony,0.0
362,hide,0.0
363,wolverine,0.0
364,organisms,0.0
365,system,0.0
366,patricio,0.0
367,conservation,0.0
368,insects,0.0
369,blind,0.0
370,remarkable,0.0
371,describe,0.0
372,crucial,0.0
373,china,0.0
374,voice,0.0
375,state,0.0
376,monday,0.0
377,enter,0.0
378,yield,0.0
379,harder,0.0
380,box,0.0
381,weapons,0.0
382,send,0.0
383,internal,0.0
384,undervalue,0.0
385,safer,0.0
386,species,0.0
387,shoal,0.0
388,hawaiian,0.0
389,educational,0.0
390,severe,0.0
391,urgent,0.0
392,room,0.0
393,government,0.0
394,gas,0.0
395,poor,0.0
396,fewer,0.0
397,bath,0.0
398,farm,0.0
399,quick,0.0
400,resist,0.0
401,restrictions,0.0
402,trip,0.0
403,door,0.0
404,friend,0.0
405,foundation,0.0
406,accelerate,0.0
407,public,0.0
408,emissions,0.0
409,oil,0.0
410,libertarian,0.0
411,replace,0.0
412,accept,0.0
413,hob,0.0
414,degree,0.0
415,thermostat,0.0
416,boilers,0.0
417,slogans,0.0
418,difference,0.0
419,would,0.0
420,british,0.0
421,sale,0.0
422,supply,0.0
423,smoothlytrains,0.0
424,youre,0.0
425,everyone,0.0
426,tackle,0.0
427,employ,0.0
428,electricity,0.0
429,turn,0.0
430,empty,0.0
431,cars,0.0
432,mph,0.0
433,draught,0.0
434,top,0.0
435,campaign,0.0
436,prevent,0.0
437,installations,0.0
438,crisis,0.0
439,energy,0.0
440,speed,0.0
441,immediately,0.0
442,excluder,0.0
443,hit,0.0
444,pump,0.0
445,reduce,0.0
446,heat,0.0
447,new,0.0
448,carbon,0.0
449,case,0.0
450,demand,0.0
451,installers,0.0
452,efficient,0.0
453,set,0.0
454,phase,0.0
455,cheeky,0.0
456,rac,0.0
457,electric,0.0
458,rapidly,0.0
459,sausage,0.0
460,chain,0.0
461,want,0.0
462,many,0.0
463,reduction,0.0
464,others,0.0
465,perceive,0.0
466,shed,0.0
467,bits,0.0
468,center,0.0
469,goals,0.0
470,adversarially,0.0
471,senior,0.0
472,form,0.0
473,wellunderstood,0.0
474,arturo,0.0
475,human,0.0
476,process,0.0
477,go,0.0
478,author,0.0
479,computervision,0.0
480,automatically,0.0
481,anne,0.0
482,harrington,0.0
483,peripheral,0.0
484,electrical,0.0
485,involve,0.0
486,department,0.0
487,science,0.0
488,research,0.0
489,find,0.0
490,lead,0.0
491,elements,0.0
492,light,0.0
493,robust,0.0
494,computer,0.0
495,engineer,0.0
496,useful,0.0
497,pretty,0.0
498,textural,0.0
499,suggest,0.0
500,enable,0.0
501,deza,0.0
502,transform,0.0
503,graduate,0.0
504,humans,0.0
505,manipulations,0.0
506,similarly,0.0
507,subtle,0.0
508,maybe,0.0
509,ok,0.0
510,still,0.0
511,noise,0.0
512,little,0.0
513,cut,0.0
514,pm,0.0
515,challenge,0.0
516,way,0.0
517,say,0.0
518,think,0.0
519,brain,0.0
520,focus,0.0
521,seem,0.0
522,might,0.0
523,similar,0.0
524,overcome,0.0
525,”,0.0
526,student,0.0
527,work,0.0
528,help,0.0
529,include,0.0
530,“,0.0
531,design,0.0
532,periphery,0.0
533,mind,0.0
534,agency,0.0
535,make,0.0
536,insulation,0.0
537,small,0.0
538,dead,0.0
539,health,0.0
540,commissioner,0.0
541,add,0.0
542,teach,0.0
543,behavioural,0.0
544,accord,0.0
545,northern,0.0
546,members,0.0
547,yiasouma,0.0
548,whole,0.0
549,brief,0.0
550,significant,0.0
551,facetoface,0.0
552,covid,0.0
553,put,0.0
554,gravity,0.0
555,quantum,0.0
556,general,0.0
557,hair,0.0
558,black,0.0
559,xavier,0.0
560,john,0.0
561,constituents,0.0
562,strong,0.0
563,mathematical,0.0
564,news,0.0
565,hole,0.0
566,prof,0.0
567,solve,0.0
568,paradoxes,0.0
569,important,0.0
570,wheeler,0.0
571,symptoms,0.0
572,young,0.0
573,nis,0.0
574,assembly,0.0
575,report,0.0
576,speak,0.0
577,irelands,0.0
578,people,0.0
579,children,0.0
580,age,0.0
581,seek,0.0
582,champion,0.0
583,hospital,0.0
584,mlas,0.0
585,activities,0.0
586,difficulties,0.0
587,professor,0.0
588,pandemic,0.0
589,heavily,0.0
590,time,0.0
591,siobhan,0.0
592,ill,0.0
593,emotional,0.0
594,longlasting,0.0
595,stormonts,0.0
596,effect,0.0
597,committee,0.0
598,oneill,0.0
599,rise,0.0
600,attention,0.0
601,koulla,0.0
602,group,0.0
603,previous,0.0
604,school,0.0
605,education,0.0
606,mental,0.0
607,call,0.0
608,hawk,0.0
609,jersey,0.0
610,calmet,0.0
611,draughtproofing,0.0
612,impossible,0.0
613,threaten,0.0
614,claim,0.0
615,behave,0.0
616,physics,0.0
617,among,0.0
618,nobrainer,0.0
619,name,0.0
620,colleagues,0.0
621,relativity,0.0
622,mechanics,0.0
623,supersede,0.0
624,undermine,0.0
625,increase,0.0
626,effective,0.0
627,escape,0.0
628,urge,0.0
629,power,0.0
630,service,0.0
631,international,0.0
632,basic,0.0
633,one,0.0
634,persuade,0.0
635,run,0.0
636,analysts,0.0
637,wind,0.0
638,comfortable,0.0
639,save,0.0
640,home,0.0
641,brake,0.0
642,import,0.0
643,archibald,0.0
644,satisfaction,0.0
645,much,0.0
